order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1,http://www.crummy.com/hackthedinos/frick1.png,http://www.crummy.com/hackthedinos/frick1.png,1,http://www.crummy.com/hackthedinos/frick1.png,http://www.crummy.com/hackthedinos/frick1.png,0,2000,2588,0,0,2000,2588
1,http://www.crummy.com/hackthedinos/frick2.png,http://www.crummy.com/hackthedinos/frick2.png,1,http://www.crummy.com/hackthedinos/frick2.png,http://www.crummy.com/hackthedinos/frick2.png,0,2000,2588,0,0,2000,2588
