order,file_path,thumbnail,capture_uuid,page_uri,book_uri
1,http://www.crummy.com/hackthedinos/frick1.png,http://www.crummy.com/hackthedinos/frick1.png,1,http://www.crummy.com/hackthedinos/frick1.png,http://www.crummy.com/hackthedinos/frick1.png
2,http://www.crummy.com/hackthedinos/frick2.png,http://www.crummy.com/hackthedinos/frick2.png,2,http://www.crummy.com/hackthedinos/frick2.png,http://www.crummy.com/hackthedinos/frick2.png
